"column"	"row"	"left-p-value"	"p-value-log-sum"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"	"mean-group1"	"mean-group2"	"N"	"N-group1"	"N-group2"	"U1"	"U2"
No VS Yes	KLK10	0.6837450039884561	0.3348567710668008	0.316254996011544	0.632509992023088	1	1	1	0.4406719817767652	0.20335135135135124	624	439	185	41591	39624
No VS Yes	KLK11	0.09371127885248082	-0.9854747105700263	0.9062887211475192	0.18742255770496163	0.388199782308803	1	0.43236832993931884	0.05836120401337793	0.36461065573770496	842	598	244	68735.5	77176.5
No VS Yes	KLK12	0.40135489154193343	-0.17364087788410645	0.5986451084580666	0.8027097830838669	1	1	1	0.08696308724832232	0.27065843621399166	839	596	243	71618.5	73209.5
No VS Yes	KLK13	0.24189613003471316	-0.4960997932547363	0.7581038699652869	0.4837922600694263	0.8152691765989662	1	0.8946578531114165	0.07182885906040264	0.19893004115226365	839	596	243	70184.5	74643.5
No VS Yes	KLK14	0.7961331193147081	0.5916390131004499	0.20386688068529185	0.4077337613705837	1	0.7569598082587814	0.7865559836645256	0.19748322147651	0.15840163934426224	840	596	244	75355	70069
No VS Yes	KLK15	0.4998736460254523	-2.1949934032294838E-4	0.5001263539745477	0.9997472920509046	1	1	1	0.0025168918918919143	6.198347107438086E-4	834	592	242	71631	71633
No VS Yes	KLK2	0.5	0	0.5	1	1	1	1	0	0	835	594	241	71577	71577
No VS Yes	KLK3	0.26507352141418944	-0.4428775472279102	0.7349264785858105	0.5301470428283789	0.8735893815068636	1	0.9560005567888386	0.06544541680672256	0.27440333744855977	838	595	243	70296.5	74288.5
No VS Yes	KLK4	2.6740665237667827E-11	-10.57282779281954	0.9999999999732594	5.3481330475335653E-11	3.732154353068201E-9	1	4.324559805936169E-9	-0.4096330801335557	0.34028651639344276	843	599	244	52042.5	94113.5
No VS Yes	KLK5	0.5	0	0.5	1	1	1	1	0	0	835	594	241	71577	71577
